id,row_id,status,job,kids,city,country,salary,marital_status,timestamp
0,0,expire,cio,5,Shenzhen,china,8000,united,2
0,1,operating,analyst,0,berlin,germany,1000,only,0
0,2,removed,information technology manager,2,n/a,n/a,4000,widow,1
0,3,withdrawn,information technology manager,2,bern,switzerland,4000,split up,1
0,4,finished,information technology director,5,moscow,russia,9000,espoused,2
0,5,deceased,director,5,seattle,us,7000,married,2
0,6,defunct,director,5,seoul,south korea,6000,mated,2
0,7,occupied,programmer,0,tokyo,japan,1000,unaccompanied,0
0,8,running,junior sofware developer,0,berlin,germany,2000,solitary,0
1,0,unemployed,senior manager,3,moscow,russia,3000,split up,1
1,1,laboring,junior sofware developer,0,n/a,n/a,500,unattached,0
1,2,unemployed,project leader,3,london,england,5000,split up,1
1,3,operating,hardware engineer,0,seoul,south korea,1000,individual,0
1,4,operating,database administrator,0,seattle,us,500,free,0
1,5,laboring,web developer,0,london,england,2000,sole,0
1,6,laboring,network engineer,0,berlin,germany,2000,solitary,0
1,7,fallen,information technology director,4,n/a,n/a,6000,engaged,2
1,8,working,security specialist,0,singapour,singapur,2000,unattached,0
1,9,departed,information technology director,5,seattle,us,10000,matrimonial,2
1,10,laboring,database administrator,0,seattle,us,2000,unattached,0
2,0,finished,ceo,5,moscow,russia,10000,mated,2
2,1,running,hardware engineer,0,berlin,germany,500,solitary,0
2,2,operating,hardware engineer,0,Shenzhen,china,2000,sole,0
2,3,occupied,web developer,0,singapour,singapur,500,unattached,0
2,4,expire,ceo,4,seattle,us,8000,matrimonial,2
2,5,defunct,ceo,4,singapour,singapur,7000,bonded,2
2,6,working,web developer,0,n/a,n/a,1000,solitary,0
2,7,deceased,cio,4,n/a,n/a,9000,engaged,2
2,8,active,hardware engineer,0,tokyo,japan,2000,free,0
2,9,laboring,database administrator,0,bern,switzerland,500,sole,0
2,10,passed,mis director,5,n/a,n/a,7000,bonded,2
3,0,pensioned off,project leader,2,london,england,4000,split up,1
3,1,departed,ceo,4,seattle,us,9000,espoused,2
3,2,retired,project leader,2,Shenzhen,china,3000,split up,1
3,3,discharged,project leader,2,seoul,south korea,5000,split up,1
3,4,departed,information technology director,4,moscow,russia,10000,espoused,2
3,5,active,web master,0,Shenzhen,china,2000,unaccompanied,0
3,6,passed,chief technical officer,5,bern,switzerland,10000,married,2
3,7,passed,ceo,4,berlin,germany,8000,bonded,2
3,8,withdrawn,information technology manager,3,moscow,russia,3000,detached,1
4,0,fallen,chief information officer,4,berlin,germany,10000,bonded,2
4,1,finished,information technology director,5,bern,switzerland,7000,bonded,2
4,2,involved,security specialist,0,moscow,russia,2000,free,0
4,3,defunct,mis director,5,tokyo,japan,7000,united,2
4,4,employed,database administrator,0,singapour,singapur,1000,only,0
4,5,pensioned,senior database administrator,3,bern,switzerland,4000,divorced,1
4,6,in retirement,project leader,3,london,england,3000,split up,1
4,7,occupied,database administrator,0,london,england,500,unaccompanied,0
4,8,running,web developer,0,london,england,1000,unaccompanied,0
4,9,removed,project leader,3,moscow,russia,3000,split up,1
5,0,running,junior sofware developer,0,seattle,us,500,unaccompanied,0
5,1,removed,network architect,2,seoul,south korea,3000,apart,1
5,2,dead,chief information officer,5,seoul,south korea,6000,married,2
5,3,operating,analyst,0,tokyo,japan,500,individual,0
5,4,involved,network engineer,0,moscow,russia,1000,unattached,0
5,5,removed,project leader,2,tokyo,japan,3000,seperated,1
6,0,occupied,network engineer,0,n/a,n/a,500,sole,0
6,1,expire,chief technical officer,4,moscow,russia,8000,paired,2
6,2,pensioned off,senior engineer,3,bern,switzerland,3000,apart,1
6,3,running,software programmer,0,london,england,500,bachelor,0
6,4,resigned,information technology manager,2,seoul,south korea,3000,split up,1
6,5,quiet,project leader,3,n/a,n/a,5000,divorced,1
6,6,in retirement,senior engineer,2,london,england,3000,widow,1
6,7,involved,security specialist,0,berlin,germany,500,single,0
6,8,working,network engineer,0,moscow,russia,2000,free,0
6,9,removed,project leader,3,seattle,us,4000,detached,1
6,10,working,database administrator,0,seattle,us,2000,free,0
7,0,removed,information technology manager,3,seoul,south korea,5000,apart,1
7,1,dead,mis director,4,singapour,singapur,10000,married,2
7,2,discharged,project leader,2,london,england,3000,widow,1
7,3,occupied,database administrator,0,moscow,russia,2000,only,0
7,4,finished,chief information officer,4,seoul,south korea,9000,espoused,2
